time;Azimut:;Inclinazione:;Rotolio:
0,032963;118,191;-39,954;-1,726
0,034068;115,867;-39,954;-1,726
0,034875;119,043;-39,954;-1,726
0,035741;115,808;-42,529;-2,869
0,036184;115,808;-42,529;-2,869
0,049616;114,811;-42,529;-2,869
0,068852;117,204;-42,529;-2,869
0,079672;115,663;-43,390;-4,945
0,080221;115,663;-43,390;-4,945
0,089142;115,635;-43,390;-4,945
0,109376;116,916;-43,390;-4,945
0,128419;112,691;-46,378;-6,338
0,129072;112,691;-46,378;-6,338
0,129836;112,755;-46,378;-6,338
0,149143;113,770;-46,378;-6,338
0,169555;113,157;-46,378;-6,338
0,176975;107,090;-50,434;-7,385
0,177675;107,090;-50,434;-7,385
0,189280;107,567;-50,434;-7,385
0,209242;109,082;-50,434;-7,385
0,226262;114,558;-46,397;-7,461
0,226919;114,558;-46,397;-7,461
0,229600;113,547;-46,397;-7,461
0,249914;112,525;-46,397;-7,461
0,269704;112,305;-46,397;-7,461
0,276182;117,850;-42,531;-5,122
0,276805;117,850;-42,531;-5,122
0,292266;117,653;-42,531;-5,122
0,308874;117,176;-42,531;-5,122
0,325663;118,202;-41,806;-4,266
0,326338;118,202;-41,806;-4,266
0,329725;119,876;-41,806;-4,266
0,349581;119,525;-41,806;-4,266
0,369597;120,493;-41,806;-4,266
0,372602;116,829;-44,911;-4,309
0,373163;116,829;-44,911;-4,309
0,389224;115,063;-44,911;-4,309
0,409225;114,750;-44,911;-4,309
0,421092;113,052;-46,070;-5,020
0,421703;113,052;-46,070;-5,020
0,429196;111,687;-46,070;-5,020
0,449013;110,706;-46,070;-5,020
0,469125;110,861;-46,070;-5,020
0,470078;112,685;-44,782;-4,788
0,470634;112,685;-44,782;-4,788
0,489673;114,165;-44,782;-4,788
0,508943;113,597;-44,782;-4,788
0,518546;114,377;-44,570;-3,118
0,519145;114,377;-44,570;-3,118
0,529131;113,764;-44,570;-3,118
0,548775;114,915;-44,570;-3,118
0,567530;118,316;-41,795;-2,880
0,568077;118,316;-41,795;-2,880
0,568660;116,899;-41,795;-2,880
0,589451;116,676;-41,795;-2,880
0,608915;117,515;-41,795;-2,880
0,615820;117,120;-42,215;-2,454
0,616368;117,120;-42,215;-2,454
0,628702;116,396;-42,215;-2,454
0,648830;117,404;-42,215;-2,454
0,664883;113,156;-45,260;-3,926
0,665417;113,156;-45,260;-3,926
0,668619;113,733;-45,260;-3,926
0,689162;113,404;-45,260;-3,926
0,709181;112,623;-45,260;-3,926
0,713786;114,352;-44,023;-3,668
0,714345;114,352;-44,023;-3,668
0,728879;114,843;-44,023;-3,668
0,748998;114,198;-44,023;-3,668
0,764140;116,137;-42,623;-3,100
0,765226;116,137;-42,623;-3,100
0,769845;117,861;-42,623;-3,100
0,789167;116,252;-42,623;-3,100
0,809168;118,029;-42,623;-3,100
0,812131;116,438;-44,020;-2,050
0,812791;116,438;-44,020;-2,050
0,829183;115,075;-44,020;-2,050
0,849569;113,993;-44,020;-2,050
0,860798;116,778;-41,755;-2,388
0,861457;116,778;-41,755;-2,388
0,869158;116,016;-41,755;-2,388
0,890442;118,569;-41,755;-2,388
0,911660;120,177;-40,738;0,163
0,913169;120,177;-40,738;0,163
0,914577;122,534;-40,738;0,163
0,929884;123,179;-40,738;0,163
0,950283;122,065;-40,738;0,163
0,960912;120,622;-42,511;4,379
0,962428;120,622;-42,511;4,379
0,974174;119,788;-42,511;4,379
0,990302;119,405;-42,511;4,379
1,009261;121,895;-40,194;3,094
1,011106;121,895;-40,194;3,094
1,012929;123,883;-40,194;3,094
1,029772;122,865;-40,194;3,094
1,052625;121,985;-40,194;3,094
1,059862;122,692;-39,550;2,937
1,061601;122,692;-39,550;2,937
1,073788;123,072;-39,550;2,937
1,090263;123,766;-39,550;2,937
1,107252;122,448;-40,703;2,790
1,108893;122,448;-40,703;2,790
1,110778;120,980;-40,703;2,790
1,130889;121,188;-40,703;2,790
1,150425;121,540;-40,703;2,790
1,157314;121,534;-40,645;2,071
1,158961;121,534;-40,645;2,071
1,172191;121,008;-40,645;2,071
1,190773;120,594;-40,645;2,071
1,206423;121,034;-40,339;2,763
1,207790;121,034;-40,339;2,763
1,209626;122,333;-40,339;2,763
1,230414;122,558;-40,339;2,763
1,250189;122,638;-40,339;2,763
1,251230;121,513;-41,373;3,920
1,251782;121,513;-41,373;3,920
1,271169;121,066;-41,373;3,920
1,291261;121,709;-41,373;3,920
1,301319;121,840;-41,233;3,592
1,302359;121,840;-41,233;3,592
1,310274;121,788;-41,233;3,592
1,330348;121,165;-41,233;3,592
1,350775;122,967;-39,710;3,172
1,352295;122,967;-39,710;3,172
1,353863;122,061;-39,710;3,172
1,370450;122,915;-39,710;3,172
1,390635;122,742;-39,710;3,172
1,399023;121,179;-40,921;2,162
1,400125;121,179;-40,921;2,162
1,410578;122,104;-40,921;2,162
1,429848;122,337;-40,921;2,162
1,448106;119,970;-42,599;0,470
1,449079;119,970;-42,599;0,470
1,450138;118,505;-42,599;0,470
1,470927;117,946;-42,599;0,470
1,490875;116,936;-42,599;0,470
1,497155;119,420;-41,062;0,520
1,498583;119,420;-41,062;0,520
1,510754;118,950;-41,062;0,520
1,531068;115,692;-41,062;0,520
1,546258;125,730;-33,191;16,702
1,547578;125,730;-33,191;16,702
1,553836;124,175;-33,191;16,702
1,570951;124,846;-33,191;16,702
1,591128;122,408;-33,191;16,702
1,594356;125,061;-30,501;19,866
1,595579;125,061;-30,501;19,866
1,610285;125,830;-30,501;19,866
1,629949;123,652;-30,501;19,866
1,644136;128,193;-26,624;18,290
1,645613;128,193;-26,624;18,290
1,652055;125,866;-26,624;18,290
1,671123;124,071;-26,624;18,290
1,690048;121,116;-26,624;18,290
1,691589;131,302;-18,364;15,340
1,692503;131,302;-18,364;15,340
1,710999;127,605;-18,364;15,340
1,731021;123,084;-18,364;15,340
1,741078;129,975;-12,675;13,602
1,742314;129,975;-12,675;13,602
1,753592;126,139;-12,675;13,602
1,772057;122,616;-12,675;13,602
1,790479;132,390;-3,790;11,596
1,792084;132,390;-3,790;11,596
1,793395;127,861;-3,790;11,596
1,810503;124,108;-3,790;11,596
1,830676;120,821;-3,790;11,596
1,839378;119,737;-4,213;12,761
1,840700;119,737;-4,213;12,761
1,852816;117,933;-4,213;12,761
1,870753;115,328;-4,213;12,761
1,888349;108,469;-10,960;6,952
1,890079;108,469;-10,960;6,952
1,891696;106,995;-10,960;6,952
1,910365;105,046;-10,960;6,952
1,930499;105,621;-10,960;6,952
1,937386;115,718;-3,238;9,983
1,939055;115,718;-3,238;9,983
1,952031;114,747;-3,238;9,983
1,971573;114,062;-3,238;9,983
1,986357;114,820;-1,598;12,420
1,988011;114,820;-1,598;12,420
1,990102;113,259;-1,598;12,420
2,010610;112,341;-1,598;12,420
2,030405;110,262;-1,598;12,420
2,036652;114,719;-0,313;6,511
2,038024;114,719;-0,313;6,511
2,054348;113,705;-0,313;6,511
2,070258;111,328;-0,313;6,511
2,083658;117,511;5,462;7,876
2,085715;117,511;5,462;7,876
2,090376;118,408;5,462;7,876
2,110704;117,652;5,462;7,876
2,133977;118,452;5,462;7,876
2,136333;113,519;3,366;11,950
2,137975;113,519;3,366;11,950
2,150917;114,309;3,366;11,950
2,171264;114,169;3,366;11,950
2,184659;104,015;-4,624;16,087
2,186690;104,015;-4,624;16,087
2,190443;103,594;-4,624;16,087
2,210250;102,443;-4,624;16,087
2,232679;107,010;-2,390;8,138
2,234348;107,010;-2,390;8,138
2,235905;105,279;-2,390;8,138
2,250488;103,893;-2,390;8,138
2,270772;101,461;-2,390;8,138
2,277986;103,105;-2,301;1,946
2,278815;103,105;-2,301;1,946
2,290720;102,872;-2,301;1,946
2,310685;102,247;-2,301;1,946
2,327570;104,834;-0,076;2,888
2,328844;104,834;-0,076;2,888
2,330379;104,939;-0,076;2,888
2,351116;104,230;-0,076;2,888
2,370873;103,512;-0,076;2,888
2,376032;104,843;-1,689;-8,100
2,377027;104,843;-1,689;-8,100
2,390742;102,777;-1,689;-8,100
2,410535;101,803;-1,689;-8,100
2,425727;92,605;-7,945;-13,751
2,427632;92,605;-7,945;-13,751
2,434206;92,365;-7,945;-13,751
2,450722;92,947;-7,945;-13,751
2,471296;93,369;-7,945;-13,751
2,473902;104,879;-1,158;-18,953
2,475415;104,879;-1,158;-18,953
2,490380;105,281;-1,158;-18,953
2,510308;104,197;-1,158;-18,953
2,523343;106,032;-0,104;-19,497
2,524741;106,032;-0,104;-19,497
2,531437;105,546;-0,104;-19,497
2,551465;104,642;-0,104;-19,497
2,571219;104,124;-0,104;-19,497
2,573392;106,496;0,533;-22,594
2,574853;106,496;0,533;-22,594
2,590919;106,279;0,533;-22,594
2,613842;106,791;0,533;-22,594
2,620707;106,771;-0,479;-25,906
2,621921;106,771;-0,479;-25,906
2,631245;105,808;-0,479;-25,906
2,651297;106,658;-0,479;-25,906
2,669359;103,275;-2,474;-26,249
2,670830;103,275;-2,474;-26,249
2,672325;102,726;-2,474;-26,249
2,690344;103,560;-2,474;-26,249
2,713691;104,350;-2,474;-26,249
2,718629;122,731;1,255;-40,125
2,720142;122,731;1,255;-40,125
2,731160;121,695;1,255;-40,125
2,750774;121,734;1,255;-40,125
2,767677;110,522;-0,981;-32,242
2,769129;110,522;-0,981;-32,242
2,770678;110,918;-0,981;-32,242
2,791131;112,984;-0,981;-32,242
2,812502;114,976;-0,981;-32,242
2,816403;106,444;-7,664;-33,638
2,818105;106,444;-7,664;-33,638
2,830801;109,596;-7,664;-33,638
2,850649;112,669;-7,664;-33,638
2,864694;125,395;-7,136;-51,339
2,866158;125,395;-7,136;-51,339
2,870304;129,065;-7,136;-51,339
2,889865;129,355;-7,136;-51,339
2,911472;132,174;-7,136;-51,339
2,914113;137,657;-3,890;-54,401
2,915645;137,657;-3,890;-54,401
2,930704;138,795;-3,890;-54,401
2,951459;140,045;-3,890;-54,401
2,962895;135,392;-12,260;-56,382
2,964417;135,392;-12,260;-56,382
2,970656;137,284;-12,260;-56,382
2,990769;139,897;-12,260;-56,382
3,010896;140,618;-12,260;-56,382
3,012954;135,076;-24,537;-63,789
3,014775;135,076;-24,537;-63,789
3,031154;137,824;-24,537;-63,789
3,055204;140,591;-24,537;-63,789
3,062223;136,485;-28,429;-58,299
3,063567;136,485;-28,429;-58,299
3,069810;138,627;-28,429;-58,299
3,089806;139,978;-28,429;-58,299
3,109670;133,858;-37,216;-56,826
3,111265;133,858;-37,216;-56,826
3,113616;135,442;-37,216;-56,826
3,129075;135,568;-37,216;-56,826
3,149707;134,516;-37,216;-56,826
3,161175;139,577;-30,445;-58,352
3,162339;139,577;-30,445;-58,352
3,169799;135,953;-30,445;-58,352
3,194304;132,683;-30,445;-58,352
3,207020;137,786;-25,415;-60,681
3,208580;137,786;-25,415;-60,681
3,210538;134,582;-25,415;-60,681
3,230710;131,851;-25,415;-60,681
3,250920;128,579;-25,415;-60,681
3,255051;134,423;-15,236;-51,694
3,255970;134,423;-15,236;-51,694
3,270805;132,136;-15,236;-51,694
3,293803;128,026;-15,236;-51,694
3,303815;134,270;0,754;-40,194
3,304965;134,270;0,754;-40,194
3,311338;131,957;0,754;-40,194
3,331796;127,387;0,754;-40,194
3,350597;123,557;0,754;-40,194
3,352542;130,166;7,847;-38,465
3,353710;130,166;7,847;-38,465
